density_0.1_1	2.502038815013437e-11
density_0.1_2	2.426131802161357e-11
density_0.1_9	2.8906493393312777e-11
density_0.1_11	1.8403691396384753e-11
density_0.1_12	2.2517310369015978e-11
density_0.1_15	1.7986733431628222e-11
density_0.1_16	2.6666790230681507e-11
density_0.1_21	1.974039650756045e-11
density_0.1_23	2.796061628644645e-11
density_0.1_24	2.5620359287073188e-11
density_0.1_26	2.3929722870967415e-11
density_0.1_27	2.778066620150825e-11
density_0.1_28	1.5894656811678765e-11
density_0.1_33	2.5705996067124682e-11
density_0.1_40	2.2478612435609828e-11
density_0.1_42	8.199888807211097e-12
density_0.1_47	2.6074835828376916e-11
density_0.1_49	1.4363975641472739e-11
density_1_0	2.0148394900434118e-11
density_1_1	2.9264605589973184e-13
density_1_2	9.541166899761193e-14
density_1_3	1.391825145825073e-13
density_1_4	1.213545593062558e-13
density_1_5	9.337074249179005e-14
density_1_6	1.2057411749843753e-13
density_1_7	1.318266961313316e-13
density_1_8	3.211574474031801e-13
density_1_9	1.448638908950035e-13
density_1_10	5.605091332701452e-14
density_1_11	3.273648333956697e-11
density_1_12	1.4355837793513935e-13
density_1_13	2.78394556596011e-13
density_1_14	1.1100874867839059e-13
density_1_15	4.90971113479947e-12
density_1_16	9.341291555228196e-14
density_1_17	8.117327668038903e-14
density_1_18	5.950868083422353e-13
density_1_19	1.336597200013604e-13
density_1_20	2.239184628353954e-14
density_1_21	1.7242969346497408e-14
density_1_22	1.352804072080411e-13
density_1_23	1.9380685023565332e-11
density_1_24	3.1115887813720115e-14
density_1_25	1.114647454624492e-13
density_1_26	1.2131604177893644e-13
density_1_27	3.383887305789545e-13
density_1_28	4.025534098842041e-14
density_1_29	2.056430610947265e-14
density_1_0	1.879587076628411e-13
density_1_1	8.589403328875112e-12
density_1_2	1.9284605319849538e-13
density_1_3	6.792577312309522e-13
density_1_4	1.2079239989064684e-13
density_1_5	1.354109478337582e-13
density_1_6	2.2302444913415858e-13
density_1_7	5.336735442361715e-14
density_1_8	1.1520840844435192e-13
density_1_9	8.611257986898615e-15
density_1_10	5.807806289330985e-14
density_1_11	2.1883887764088958e-13
density_1_13	1.4201316592868002e-13
density_1_14	2.6057541781904136e-13
density_1_15	4.208992879238765e-14
density_1_16	4.2959530750210474e-13
density_1_17	4.309452459674516e-12
density_1_18	1.991215666949509e-11
density_1_19	1.238901108034324e-13
density_1_20	1.7296900002876232e-13
density_1_21	2.045778684402533e-13
density_1_22	1.161955969452192e-13
density_1_23	3.835526184405134e-12
density_1_24	2.735273817035715e-12
density_1_25	1.3794951055345904e-13
density_1_26	1.4521075469240268e-13
density_1_27	1.1607645465595295e-13
density_1_28	7.138044042742684e-14
density_1_29	1.263380408690133e-13
density_1_30	2.622454795184902e-13
density_1_31	1.067166142869143e-13
density_1_32	2.49241536612871e-13
density_1_33	3.169300329157389e-14
density_1_34	4.858889664351984e-14
density_1_35	1.1143888456381456e-14
density_1_36	1.4520470066435113e-13
density_1_37	2.4220643302793803e-13
density_1_38	7.301566751261041e-13
density_1_39	8.06989549177171e-14
density_1_40	6.154316783625971e-14
density_1_41	6.262942146923699e-14
density_1_42	1.2300737710716675e-13
density_1_43	1.6198197177938992e-13
density_1_44	3.9946052952341183e-14
density_1_45	2.842009657166569e-13
density_1_46	2.973374661172282e-14
density_1_47	1.2701668258524268e-13
density_1_48	1.2676858734067884e-13
density_1_49	5.937087837880274e-14
density_10_1	1.2859719105068295e-12
density_10_10	1.6189624989814648e-12
density_10_11	1.2815043771036433e-12
density_10_12	1.0992323762616719e-12
density_10_13	1.6060766366858205e-12
density_10_14	1.4646133842409117e-12
density_10_15	1.467269642673624e-12
density_10_16	1.2360010308365942e-12
density_10_17	9.710473418405318e-13
density_10_18	1.2915327592383447e-12
density_10_19	1.3274465790751122e-12
density_10_22	1.4609171504127326e-12
density_10_23	5.13087153224557e-12
density_10_24	4.800475310099823e-12
density_10_25	1.7026304623502337e-12
density_10_26	1.2854570105840233e-12
density_10_27	4.026412971360841e-12
density_10_28	5.216394863746347e-12
density_10_29	1.3779100026335958e-12
density_10_30	1.313896414212931e-12
density_10_32	1.3942076058955943e-12
density_10_33	7.133228776049226e-12
density_10_34	1.3808596209157574e-12
density_10_35	1.4839130688474078e-12
density_10_36	1.373030099879715e-12
density_10_37	4.0632201387114704e-12
density_10_38	1.3928585463128991e-12
density_10_39	1.3770953706470788e-12
density_10_40	1.5438154725009597e-12
density_10_41	1.405366450871012e-12
density_10_42	1.3121464543044635e-12
density_10_43	1.497876759119555e-12
density_10_44	1.0446135841908769e-12
density_10_45	1.5818676610911412e-12
density_10_46	3.0934117102336047e-12
density_10_47	1.5857151563151438e-12
density_10_48	1.6074795155476776e-12
density_10_49	4.763947153194805e-12
density_10_50	1.569392490315417e-12
density_10_51	1.3066251692168064e-12
density_10_52	1.371586708321714e-12
density_10_54	9.079626915852674e-12
density_10_55	4.788980999342959e-12
density_10_56	1.4725753284888817e-12
density_10_57	7.8417510940653e-12
density_10_58	9.15866534822913e-12
density_10_59	1.1064917600326433e-12
